Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         2        0.000015        0.000007             0.000499             0.000249 resizeEvent                    turns_display_frame\turns_display_frame.py:90
         6        0.000014        0.000002             0.000222             0.000037 generate_turns_tuple           turns_tuple_generator\turns_tuple_generator.py:68
         6        0.000014        0.000002             0.000094             0.000016 resizeEvent                    ori_picker_widget\rotate_buttons_widget.py:59
         1        0.000014        0.000014             0.003316             0.003316 toggle                         graph_editor\graph_editor_animator.py:24
         2        0.000014        0.000007             0.001664             0.000832 update_display                 turns_adjustment_manager\turns_presenter.py:22
         1        0.000014        0.000014             0.000028             0.000028 update_ori_displays            adjustment_panel\legacy_adjustment_panel.py:92
         4        0.000014        0.000003             0.000019             0.000005 parse_turns_tuple_string       tka_glyph\turns_parser.py:6
         1        0.000013        0.000013             0.000081             0.000081 start_fade_out                 main_widget\base_indicator_label.py:54
         2        0.000013        0.000007             0.000020             0.000010 setup_components               arrow\arrow.py:35
         1        0.000013        0.000013             0.000251             0.000251 resizeEvent                    start_pos_picker\choose_your_start_pos_label.py:27
         1        0.000013        0.000013             0.000083             0.000083 set_vtg_mode                   vtg_glyph\vtg_glyph.py:55
         1        0.000013        0.000013             0.000715             0.000715 update_motions                 updater\motion_data_updater.py:37
         1        0.000013        0.000013             0.000021             0.000021 get_gradient                   image_creator\difficult_level_gradients.py:43
         2        0.000013        0.000006             0.000059             0.000029 resizeEvent                    views\visibility_pictograph_view.py:35
         2        0.000013        0.000006             0.000277             0.000138 resizeEvent                    widgets\reversal_filter_widget.py:31
         2        0.000013        0.000006             0.000023             0.000011 resizeEvent                    turns_widget\motion_type_label.py:22
        25        0.000012        0.000000             0.000031             0.000003 <genexpr>                      updater\motion_data_updater.py:197
         2        0.000012        0.000006             0.000078             0.000039 set_prop_to_default_loc        handlers\default_prop_positioner.py:27
         1        0.000012        0.000012             0.000713             0.000713 resizeEvent                    layout_selector\layout_selector.py:64
         1        0.000012        0.000012             0.000041             0.000041 initiallize_getter             getter\pictograph_getter.py:30
         1        0.000012        0.000012             0.000014             0.000014 _calculate_beat_size           layout_beat_frame\layout_beat_frame.py:104
         1        0.000012        0.000012             0.000018             0.000018 resizeEvent                    image_export\image_export_tab.py:175
         1        0.000011        0.000011             0.000012             0.000012 resizeEvent                    start_pos_picker\start_pos_pictograph_frame.py:26
         1        0.000011        0.000011             0.001491             0.001491 update_turns_panel             adjustment_panel\legacy_adjustment_panel.py:145
         2        0.000011        0.000005             0.000253             0.000127 update_arrow_position          arrow_placement_manager\arrow_placement_manager.py:51
         2        0.000011        0.000005             0.000476             0.000238 update_prop_image              svg_manager\prop_svg_manager.py:20
         1        0.000011        0.000011             0.000366             0.000366 resizeEvent                    labels\workbench_difficulty_label.py:61
         6        0.000011        0.000002             0.000582             0.000097 _update_style                  scroll\section_type_button.py:68
         1        0.000011        0.000011             0.000492             0.000492 _resize_combo_box              codex\codex_ori_selector.py:84
         6        0.000011        0.000002             0.000013             0.000002 set_pictograph                 turns_tuple_generators\base_turns_tuple_generator.py:22
         1        0.000010        0.000010             0.000142             0.000142 resizeEvent                    visibility\visibility_tab.py:191
         2        0.000010        0.000005             0.000039             0.000020 place_prop_at_hand_point       handlers\default_prop_positioner.py:48
         2        0.000010        0.000005             0.000394             0.000197 resizeEvent                    widgets\choose_your_next_pictograph_label.py:19
         1        0.000010        0.000010             0.006292             0.006292 update_pictograph              updater\pictograph_updater.py:28
         2        0.000010        0.000005             0.000068             0.000034 get_default_adjustment         strategies\default_placement_strategy.py:64
         1        0.000010        0.000010             0.000027             0.000027 _set_current_stack_widgets     adjustment_panel\legacy_adjustment_panel.py:126
         1        0.000010        0.000010             0.013211             0.013211 <lambda>                       legacy_beat_frame\beat_frame_populator.py:143
         2        0.000010        0.000005             0.000457             0.000229 update_arrow_svg               arrow\arrow_svg_manager.py:19
         1        0.000009        0.000009             0.000635             0.000635 resizeEvent                    navigation_widget\menu_bar_nav_widget.py:131
         1        0.000009        0.000009             0.002313             0.002313 <lambda>                       legacy\main.py:289
         2        0.000009        0.000005             0.000014             0.000007 get_key_from_arrow             placement_managers\attr_key_generator.py:15
         4        0.000009        0.000002             0.000014             0.000004 settings_manager               core\application_context.py:36
         1        0.000009        0.000009             0.000012             0.000012 determine_vtg_mode             vtg_glyph\vtg_glyph.py:94
         4        0.000009        0.000002             0.000204             0.000051 turns_tuple                    getter\pictograph_getter.py:104
         2        0.000009        0.000005             0.000624             0.000312 update_motion                  motion\motion_updater.py:14
        12        0.000009        0.000001             0.000059             0.000005 get_motion_visibility          visibility_settings\visibility_settings.py:51
         1        0.000009        0.000009             0.000034             0.000034 disable                        legacy\profiler.py:18
         1        0.000009        0.000009             0.000013             0.000013 _create_base_image             labels\difficulty_level_icon.py:17
         2        0.000009        0.000004             0.000015             0.000007 resizeEvent                    turns_widget\turns_text_label.py:18
         3        0.000009        0.000003             0.000014             0.000014 _tuple_to_dict                 updater\motion_data_updater.py:203
         2        0.000009        0.000004             0.000017             0.000008 update_motion_state            motion\motion_state.py:28
         4        0.000008        0.000002             0.000014             0.000003 hide_prop_rot_dir_buttons      turns_box\turns_box_header.py:67
         1        0.000008        0.000008             0.000029             0.000029 clear                          main_widget\base_indicator_label.py:60
        12        0.000008        0.000001             0.000008             0.000001 _normalize_turns               turns_tuple_generators\base_turns_tuple_generator.py:13
         2        0.000008        0.000004             0.000089             0.000045 _setup_arrow_svg_renderer      arrow\arrow_svg_manager.py:57
         6        0.000008        0.000001             0.000014             0.000002 has_all_props_of_type          managers\pictograph_checker.py:179
        26        0.000008        0.000000             0.000008             0.000000 _get_border_color              ori_picker_widget\clickable_ori_label.py:39
         1        0.000008        0.000008             0.000012             0.000012 _calculate_bounding_rect       labels\difficulty_level_icon.py:74
         1        0.000008        0.000008             0.000013             0.000013 _update_position               image_export\loading_spinner.py:226
         1        0.000008        0.000008             0.000518             0.000518 resizeEvent                    codex\codex_ori_selector.py:73
         1        0.000007        0.000007             0.000010             0.000010 _calculate_text_position       labels\difficulty_level_icon.py:82
         2        0.000007        0.000004             0.000020             0.000010 hide                           grid\grid.py:71
        13        0.000007        0.000001             0.000010             0.000001 resizeEvent                    prop_type\prop_button.py:102
         4        0.000007        0.000002             0.000009             0.000002 get_grid_mode                  main_widget\grid_mode_checker.py:11
         3        0.000007        0.000002             0.000036             0.000036 _dict_to_tuple                 updater\motion_data_updater.py:189
         2        0.000007        0.000004             0.000013             0.000006 update_turns_box_header        turns_box\turns_box_header.py:36
         2        0.000007        0.000004             0.000034             0.000017 _update_motion_type            turns_adjustment_manager\turns_presenter.py:56
         1        0.000007        0.000007             0.000017             0.000017 resizeEvent                    layout_controls\update_default_layout_button.py:23
         2        0.000007        0.000003             0.000180             0.000090 apply_rotation                 calculators\base_rot_angle_calculator.py:29
         2        0.000007        0.000003             0.007385             0.003692 resizeEvent                    sequence_workbench\sequence_workbench.py:92
         1        0.000007        0.000007             0.000024             0.000024 _get_motion_dataset_from_tuple updater\motion_data_updater.py:138
         1        0.000007        0.000007             0.000011             0.000011 position_elemental_glyph       elemental_glyph\elemental_glyph.py:59
         1        0.000007        0.000007             0.000354             0.000354 update                         updater\placement_updater.py:15
         4        0.000007        0.000002             0.000333             0.000083 set_color                      turns_number_group\turns_number.py:27
         2        0.000007        0.000003             0.000007             0.000003 _get_current_motion            turns_widget\turns_widget.py:76
         1        0.000007        0.000007             0.001106             0.001106 update                         updater\glyph_updater.py:15
         2        0.000007        0.000003             0.000031             0.000015 __init__                       calculators\base_rot_angle_calculator.py:21
         2        0.000006        0.000003             0.000008             0.000004 _select_calculator             location_manager\arrow_location_manager.py:19
         4        0.000006        0.000002             0.000012             0.000003 generate_ori_key_from_motion   data_updater\ori_key_generator.py:77
         1        0.000006        0.000006             0.000314             0.000314 get_pixmap                     labels\difficulty_level_icon.py:10
         2        0.000006        0.000003             0.000219             0.000109 update_rotation                rot_angle_manager\arrow_rot_angle_manager.py:32
         1        0.000006        0.000006             0.001188             0.001188 update_grid_mode_if_changed    updater\pictograph_updater.py:57
         2        0.000006        0.000003             0.000023             0.000011 get_svg_center_point           handlers\default_prop_positioner.py:87
         2        0.000006        0.000003             0.000050             0.000025 fades_enabled                  fade_manager\fade_manager.py:33
         2        0.000006        0.000003             0.000070             0.000035 interpret_turns_tuple          turns_number_group\turns_tuple_interpretor.py:20
        22        0.000006        0.000000             0.000024             0.000003 make_hashable                  updater\motion_data_updater.py:190
         3        0.000006        0.000002             0.000008             0.000003 ends_with_beta                 managers\pictograph_checker.py:17
         2        0.000006        0.000003             0.000014             0.000014 resizeEvent                    labels\sequence_workbench_indicator_label.py:17
         2        0.000006        0.000003             0.000008             0.000004 get_diamond_rotation_angle     prop\prop_rot_angle_manager.py:29
         2        0.000006        0.000003             0.000011             0.000006 _show_motion_graphics          updater\motion_data_updater.py:127
